"RelativePath","Encoding","Size"
"Polaris\src-tauri\icons\ios\AppIcon-40x40@1x.png","Binary/System","3886"
"Polaris\src-tauri\icons\ios\AppIcon-40x40@2x.png","Binary/System","12830"
"Polaris\src-tauri\icons\ios\AppIcon-40x40@3x.png","Binary/System","25889"
"Polaris\src-tauri\icons\ios\AppIcon-60x60@2x.png","Binary/System","25889"
"Polaris\src-tauri\icons\ios\AppIcon-60x60@3x.png","Binary/System","52253"
"Polaris\src-tauri\icons\ios\AppIcon-76x76@1x.png","Binary/System","11792"
"Polaris\src-tauri\icons\ios\AppIcon-76x76@2x.png","Binary/System","39078"
"Polaris\src-tauri\icons\ios\AppIcon-83.5x83.5@2x.png","Binary/System","45771"
"Polaris\src-tauri\icons\ios\AppIcon-512@2x.png","Binary/System","1027429"
"Polaris\src-tauri\src\main.rs","UTF-8","12419"
"Polaris\src-tauri\windows\hooks.nsi","UTF-8 (ASCII Only)","339"
"Polaris\src-tauri\windows\installer.nsi","UTF-8 (ASCII Only)","32674"
"Polaris\src-tauri\gen\schemas\acl-manifests.json","UTF-8 (ASCII Only)","64079"
"Polaris\src-tauri\gen\schemas\windows-schema.json","UTF-8 (ASCII Only)","113239"
"Polaris\src-tauri\gen\schemas\desktop-schema.json","UTF-8 (ASCII Only)","113239"
"Polaris\src-tauri\gen\schemas\capabilities.json","UTF-8 (ASCII Only)","2"
"material\Installer\headerUI.png","Binary/System","3417176"
"material\Installer\headerUI.bmp","Large File (Skipped)","17203254"
"material\Installer\wizardUI.jpg","Binary/System","47310"
"material\Installer\wizardUI.bmp","Binary/System","1896502"
